person,name,related_person
http://dbpedia.org/resource/Chesty_Puller,""Chesty""@en,http://dbpedia.org/resource/Lewis_Burwell_Puller,_Jr.
http://dbpedia.org/resource/Jeb_Bush,"#JE3OLUTION Bush"@en,http://dbpedia.org/resource/Bush_family
http://dbpedia.org/resource/Jeb_Bush,"#PleaseClap2020"@en,http://dbpedia.org/resource/Bush_family
http://dbpedia.org/resource/Poghos_Bek-Pirumyan,"()"@en,http://dbpedia.org/resource/Daniel_Bek-Pirumian
http://dbpedia.org/resource/George_Byron,_7th_Baron_Byron,"(Admiral)"@en,http://dbpedia.org/resource/Lord_Byron
http://dbpedia.org/resource/Bill_McLaren,"(CBE)"@en,http://dbpedia.org/resource/Alan_Lawson
http://dbpedia.org/resource/Bill_McLaren,"(CBE)"@en,http://dbpedia.org/resource/Jim_Thompson_(rugby_union)
http://dbpedia.org/resource/Bill_McLaren,"(CBE)"@en,http://dbpedia.org/resource/Rory_Lawson
http://dbpedia.org/resource/Lord_William_Cecil_(courtier),"(CVO) (GCStJ)"@en,http://dbpedia.org/resource/Brownlow_Cecil,_2nd_Marquess_of_Exeter
http://dbpedia.org/resource/Lord_William_Cecil_(courtier),"(CVO) (GCStJ)"@en,http://dbpedia.org/resource/George_Henry_Vanderbilt_Cecil
http://dbpedia.org/resource/Lord_William_Cecil_(courtier),"(CVO) (GCStJ)"@en,http://dbpedia.org/resource/William_Amherst_Vanderbilt_Cecil
http://dbpedia.org/resource/Lord_William_Cecil_(courtier),"(CVO) (GCStJ)"@en,http://dbpedia.org/resource/Thomas_Pakenham,_2nd_Earl_of_Longford
http://dbpedia.org/resource/Bernard_Charnwut_Chan,"(Charnwut Sophonpanich)"@en,http://dbpedia.org/resource/Chartsiri_Sophonpanich
http://dbpedia.org/resource/Bernard_Charnwut_Chan,"(Charnwut Sophonpanich)"@en,http://dbpedia.org/resource/Chin_Sophonpanich
http://dbpedia.org/resource/Bernard_Charnwut_Chan,"(Charnwut Sophonpanich)"@en,http://dbpedia.org/resource/Chatri_Sophonpanich
http://dbpedia.org/resource/Bernard_Charnwut_Chan,"(Charnwut Sophonpanich)"@en,http://dbpedia.org/resource/Robin_Chan_(businessman)
http://dbpedia.org/resource/Titusz_Dugovics,"(Dugovics Titusz)"@en,http://dbpedia.org/resource/János_Hunyadi
http://dbpedia.org/resource/Teresa_Magbanua,"(General)"@en,http://dbpedia.org/resource/Perfecto_Poblador
http://dbpedia.org/resource/Gulnara_Karimova,"(Gulnora Karimova)"@en,http://dbpedia.org/resource/Lola_Karimova-Tillyaeva
http://dbpedia.org/resource/Jeronim_Ljubibratić,"(Hieronimus Liubibratich)"@en,http://dbpedia.org/resource/Mihajlo_Ljubibratić
http://dbpedia.org/resource/Jeronim_Ljubibratić,"(Hieronimus Liubibratich)"@en,http://dbpedia.org/resource/Petar_Ljubibratić
http://dbpedia.org/resource/Chiang_Hsiao-yen,"(John Chiang)"@en,http://dbpedia.org/resource/Chiang_Ching-kuo
http://dbpedia.org/resource/Jeronim_Ljubibratić,"(Jероним Љубибратић)"@en,http://dbpedia.org/resource/Mihajlo_Ljubibratić
http://dbpedia.org/resource/Jeronim_Ljubibratić,"(Jероним Љубибратић)"@en,http://dbpedia.org/resource/Petar_Ljubibratić
http://dbpedia.org/resource/Mick_Jagger,"(KBE)"@en,http://dbpedia.org/resource/Chris_Jagger
http://dbpedia.org/resource/James_Waldegrave,_2nd_Earl_Waldegrave,"(KGPCFRS)"@en,http://dbpedia.org/resource/Lord_Hugh_Seymour
http://dbpedia.org/resource/James_Waldegrave,_2nd_Earl_Waldegrave,"(KGPCFRS)"@en,http://dbpedia.org/resource/George_FitzRoy,_4th_Duke_of_Grafton
http://dbpedia.org/resource/James_Waldegrave,_2nd_Earl_Waldegrave,"(KGPCFRS)"@en,http://dbpedia.org/resource/George_Waldegrave,_4th_Earl_Waldegrave
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"(KT)"@en,http://dbpedia.org/resource/Granville_Leveson-Gower,_1st_Marquess_of_Stafford
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"(KT)"@en,http://dbpedia.org/resource/Archibald_Hamilton,_9th_Duke_of_Hamilton
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"(KT)"@en,http://dbpedia.org/resource/John_Murray,_4th_Earl_of_Dunmore
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"(KT)"@en,http://dbpedia.org/resource/Keith_Stewart
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"(KT)"@en,http://dbpedia.org/resource/Susannah_Leveson-Gower,_Marchioness_of_Stafford
http://dbpedia.org/resource/Parashqevi_Qiriazi,"(Paraskevi D. Kirias)"@en,http://dbpedia.org/resource/Gjerasim_Qiriazi
http://dbpedia.org/resource/Parashqevi_Qiriazi,"(Paraskevi D. Kirias)"@en,http://dbpedia.org/resource/Gjergj_Qiriazi
http://dbpedia.org/resource/Parashqevi_Qiriazi,"(Paraskevi D. Kirias)"@en,http://dbpedia.org/resource/Sevasti_Qiriazi
http://dbpedia.org/resource/Scarlat_Vârnav,"(Sofronie Vârnav)"@en,http://dbpedia.org/resource/Gheorghe_Bibescu
http://dbpedia.org/resource/Scarlat_Vârnav,"(Sofronie Vârnav)"@en,http://dbpedia.org/resource/Scarlat_C._Vârnav
http://dbpedia.org/resource/Joseph_Brant,"(Thayendanegea)"@en,http://dbpedia.org/resource/Sir_William_Johnson,_1st_Baronet
http://dbpedia.org/resource/Joseph_Brant,"(Thayendanegea)"@en,http://dbpedia.org/resource/Molly_Brant
http://dbpedia.org/resource/Tom_Mitford,"(The Honourable)"@en,http://dbpedia.org/resource/Diana_Mitford
http://dbpedia.org/resource/Tom_Mitford,"(The Honourable)"@en,http://dbpedia.org/resource/Jessica_Mitford
http://dbpedia.org/resource/Tom_Mitford,"(The Honourable)"@en,http://dbpedia.org/resource/Nancy_Mitford
http://dbpedia.org/resource/Tom_Mitford,"(The Honourable)"@en,http://dbpedia.org/resource/Unity_Mitford
http://dbpedia.org/resource/Tom_Mitford,"(The Honourable)"@en,http://dbpedia.org/resource/Deborah_Mitford
http://dbpedia.org/resource/Nathaniel_G._S._Hart,"(also) Nathaniel G. S. Hart"@en,http://dbpedia.org/resource/Henry_Clay
http://dbpedia.org/resource/Victor_de_Fay_de_La_Tour-Maubourg,"(marquis de La Tour-Maubourg)"@en,http://dbpedia.org/resource/Daughter
http://dbpedia.org/resource/Victor_de_Fay_de_La_Tour-Maubourg,"(marquis de La Tour-Maubourg)"@en,http://dbpedia.org/resource/Charles_César_de_Fay_de_La_Tour-Maubourg
http://dbpedia.org/resource/Victor_de_Fay_de_La_Tour-Maubourg,"(marquis de La Tour-Maubourg)"@en,http://dbpedia.org/resource/Juste-Charles_de_la_Tour-Maubourg
http://dbpedia.org/resource/Đàm_Thị_Loan,"(Đàm Thị Nết)"@en,http://dbpedia.org/resource/Hoàng_Văn_Thái
http://dbpedia.org/resource/Gerodimos_Stathas,"(Γεροδήμος Σταθάς)"@en,http://dbpedia.org/resource/Giannis_Stathas
http://dbpedia.org/resource/Eleftherios_Venizelos,"(Ελευθέριος Βενιζέλος)"@en,http://dbpedia.org/resource/Constantine_Mitsotakis
http://dbpedia.org/resource/Lazaros_Kountouriotis,"(Λάζαρος Κουντουριώτης)"@en,http://dbpedia.org/resource/Pantelis_Horn
http://dbpedia.org/resource/Lazaros_Kountouriotis,"(Λάζαρος Κουντουριώτης)"@en,http://dbpedia.org/resource/Dimitris_Horn
http://dbpedia.org/resource/Anwar_Saifullah_Khan,"(أنور سيف الله خان)"@en,http://dbpedia.org/resource/Ghulam_Ishaq_Khan
http://dbpedia.org/resource/Anwar_Saifullah_Khan,"(أنور سيف الله خان)"@en,http://dbpedia.org/resource/Humayun_Saifullah_Khan
http://dbpedia.org/resource/Anwar_Saifullah_Khan,"(أنور سيف الله خان)"@en,http://dbpedia.org/resource/Salim_Saifullah_Khan
http://dbpedia.org/resource/Anwar_Saifullah_Khan,"(أنور سيف الله خان)"@en,http://dbpedia.org/resource/Omar_Ayub_Khan
http://dbpedia.org/resource/Sassui_Palijo,"(سسي پليجو)"@en,http://dbpedia.org/resource/Rasool_Bux_Palijo
http://dbpedia.org/resource/Sassui_Palijo,"(سسي پليجو)"@en,http://dbpedia.org/resource/Ayaz_Latif_Palijo
http://dbpedia.org/resource/Sassui_Palijo,"(سسي پليجو)"@en,http://dbpedia.org/resource/Zarina_Baloch
http://dbpedia.org/resource/Saif_al-Arab_Gaddafi,"(سيف العرب القذافي)"@en,http://dbpedia.org/resource/Muammar_Gaddafi
http://dbpedia.org/resource/Saif_al-Arab_Gaddafi,"(سيف العرب القذافي)"@en,http://dbpedia.org/resource/Safia_Farkash
http://dbpedia.org/resource/Fatima_Jinnah,"(فاطمہ جناح)"@en,http://dbpedia.org/resource/Jinnah_family
http://dbpedia.org/resource/Fazal-ur-Rehman_(politician),"(فضل الرحمٰن)"@en,http://dbpedia.org/resource/Atta-ur-Rehman_(politician)
http://dbpedia.org/resource/Fazal-ur-Rehman_(politician),"(فضل الرحمٰن)"@en,http://dbpedia.org/resource/Maulana_Lutf_ur_Rehman
http://dbpedia.org/resource/Fazal-ur-Rehman_(politician),"(فضل الرحمٰن)harami sala"@en,http://dbpedia.org/resource/Atta-ur-Rehman_(politician)
http://dbpedia.org/resource/Fazal-ur-Rehman_(politician),"(فضل الرحمٰن)harami sala"@en,http://dbpedia.org/resource/Maulana_Lutf_ur_Rehman
http://dbpedia.org/resource/Waseem_Abbas,"(وسيم عباس) Waseem Abbas"@en,http://dbpedia.org/resource/Agha_Ali
http://dbpedia.org/resource/Waseem_Abbas,"(وسيم عباس) Waseem Abbas"@en,http://dbpedia.org/resource/Inayat_Hussain_Bhatti
http://dbpedia.org/resource/Waseem_Abbas,"(وسيم عباس) Waseem Abbas"@en,http://dbpedia.org/resource/Ali_Abbas_(actor)
http://dbpedia.org/resource/Waseem_Abbas,"(وسيم عباس) Waseem Abbas"@en,http://dbpedia.org/resource/Ali_Sikander
http://dbpedia.org/resource/Girija_Prasad_Koirala,"(गिरीजाप्रसाद कोइराला)"@en,http://dbpedia.org/resource/Koirala_family
http://dbpedia.org/resource/Bishweshwar_Prasad_Koirala,"(विश्वेश्वर प्रसाद कोइराला)"@en,http://dbpedia.org/resource/Koirala_family
http://dbpedia.org/resource/Mehmet_Esat_Bülkat,"1303 (1887)P.-1"@en,http://dbpedia.org/resource/Wehib_Pasha
http://dbpedia.org/resource/Sir_Charles_Thompson,_1st_Baronet,"1st Baronet"@en,http://dbpedia.org/resource/Sir_Henry_Thompson,_3rd_Baronet
http://dbpedia.org/resource/Sir_Charles_Thompson,_1st_Baronet,"1st Baronet"@en,http://dbpedia.org/resource/Sir_Norborne_Thompson,_2nd_Baronet
http://dbpedia.org/resource/Sir_Fitzroy_Maclean,_10th_Baronet,"26th Clan Chief"@en,http://dbpedia.org/resource/Charles_Hector_Fitzroy_MacLean,_Baron_Maclean
http://dbpedia.org/resource/Thomas_Pitt,_2nd_Baron_Camelford,"2nd Baron Camelford"@en,http://dbpedia.org/resource/William_Pitt_the_Younger
http://dbpedia.org/resource/Jean_de_Lattre_de_Tassigny,"50pxJean de Lattre de Tassigny"@en,http://dbpedia.org/resource/Bernard_de_Lattre_de_Tassigny
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/Granville_Leveson-Gower,_1st_Marquess_of_Stafford
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/Archibald_Hamilton,_9th_Duke_of_Hamilton
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/John_Murray,_4th_Earl_of_Dunmore
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/Keith_Stewart
http://dbpedia.org/resource/John_Stewart,_7th_Earl_of_Galloway,"7th Earl of Galloway"@en,http://dbpedia.org/resource/Susannah_Leveson-Gower,_Marchioness_of_Stafford
http://dbpedia.org/resource/Hasan_Salama,"??? ?????"@en,http://dbpedia.org/resource/Ali_Hassan_Salameh
http://dbpedia.org/resource/A._Loudon_Snowden,"A. Loudon Snowden"@en,http://dbpedia.org/resource/Stuyvesant_Wainwright_II
http://dbpedia.org/resource/A._Loudon_Snowden,"A. Loudon Snowden"@en,http://dbpedia.org/resource/Loudon_Wainwright_Jr.
http://dbpedia.org/resource/A._Loudon_Snowden,"A. Loudon Snowden"@en,http://dbpedia.org/resource/James_Ross_Snowden
http://dbpedia.org/resource/A._Loudon_Snowden,"A. Loudon Snowden"@en,http://dbpedia.org/resource/Carroll_Livingston_Wainwright_I
http://dbpedia.org/resource/A._S._J._Carnahan,"A. S. J. Carnahan"@en,http://dbpedia.org/resource/Robin_Carnahan
http://dbpedia.org/resource/A._S._J._Carnahan,"A. S. J. Carnahan"@en,http://dbpedia.org/resource/Jean_Carnahan
http://dbpedia.org/resource/A._S._J._Carnahan,"A. S. J. Carnahan"@en,http://dbpedia.org/resource/Mel_Carnahan
http://dbpedia.org/resource/A._S._J._Carnahan,"A. S. J. Carnahan"@en,http://dbpedia.org/resource/Russ_Carnahan
http://dbpedia.org/resource/A._M._Hendropriyono,"A.M. Hendropriyono"@en,http://dbpedia.org/resource/Andika_Perkasa
http://dbpedia.org/resource/Antônio_Carlos_Magalhães_Neto,"ACM Neto"@en,http://dbpedia.org/resource/Antônio_Carlos_Magalhães
http://dbpedia.org/resource/AK_47_Mayanja,"AK 47"@en,http://dbpedia.org/resource/Chameleone
http://dbpedia.org/resource/AK_47_Mayanja,"AK 47"@en,http://dbpedia.org/resource/Pallaso
http://dbpedia.org/resource/Lalu_Prasad_Yadav,"Aalu Prasad Yadav"@en,http://dbpedia.org/resource/Tejashwi_Yadav
http://dbpedia.org/resource/Lalu_Prasad_Yadav,"Aalu Prasad Yadav"@en,http://dbpedia.org/resource/Tej_Pratap_Singh_Yadav
